regime,country,variable,coef,se,t,p,nobs,maxlags_used
BW,Australia,mcap_gdp,0.2942328005287863,0.1384104402150036,2.1257991815626904,0.033519984212060955,44,2
BW,Canada,liquid_liabilities,0.03970807885851171,0.3689742537606314,0.10761747860129002,0.9142991315969679,44,2
BW,Canada,bank_loans_gdp,-0.6980923365454255,0.28971942457053773,-2.409546193115062,0.01597237396051978,44,2
BW,Canada,mcap_gdp,0.178838128508475,0.07312814946801999,2.4455442918965633,0.014463368225146916,44,2
BW,Denmark,liquid_liabilities,0.8214274389114357,0.36637991704322376,2.2420100030060532,0.024960725816609696,44,2
BW,Denmark,bank_loans_gdp,-0.11843081063744132,0.10627889598531842,-1.11433986530874,0.265133410722344,44,2
BW,Denmark,mcap_gdp,0.044479781792247236,0.3556034731604369,0.12508252913542098,0.9004582143927152,44,2
BW,Germany,liquid_liabilities,-0.04415383249174659,0.34853693489180665,-0.126683367160077,0.8991910108452951,44,2
BW,Germany,bank_loans_gdp,0.1233491157280033,0.21485142307432084,0.5741135616557433,0.5658909567687863,44,2
BW,Germany,mcap_gdp,-2.049456494655528,0.8665036786024849,-2.3652023012307737,0.018020224443807107,44,2
BW,Norway,liquid_liabilities,0.18980000921065932,0.1019738684307576,1.8612612439974021,0.06270729335644984,44,2
BW,Norway,bank_loans_gdp,-0.09328035405549413,0.07049151604221861,-1.32328483330713,0.1857406734897279,44,2
BW,Norway,mcap_gdp,1.9905282023380622,0.5522854342926163,3.604165670035441,0.00031315726703405226,44,2
BW,Sweden,liquid_liabilities,0.02949357651928009,0.36212866392324566,0.08144502067235239,0.9350880466881222,44,2
BW,Sweden,bank_loans_gdp,0.017940126337174074,0.16412851063899844,0.10930536240978558,0.9129602934944503,44,2
BW,Sweden,mcap_gdp,0.3447554302489941,0.1491747044851047,2.311085055867621,0.02082815726381099,44,2
BW,Switzerland,liquid_liabilities,-0.05363219249127992,0.14924499743327965,-0.3593567182394594,0.7193282489824051,44,2
BW,Switzerland,bank_loans_gdp,-0.024266193106424493,0.06715967488572738,-0.36132088411258056,0.7178595835125547,44,2
BW,Switzerland,mcap_gdp,0.05947045817972434,0.06360185444955697,0.9350428331754184,0.34976622567794957,44,2
BW,United Kingdom,liquid_liabilities,-0.23758047199424587,0.15698178491087872,-1.5134270012863238,0.13017123066339711,44,2
BW,United Kingdom,bank_loans_gdp,-0.676962834456561,0.2859077454856578,-2.3677666839932465,0.017895817428584215,44,2
BW,United Kingdom,mcap_gdp,0.11003982487793229,0.05634163264731353,1.953081934397568,0.05080988726186219,44,2
BW,United States,liquid_liabilities,-0.851373882153718,0.3626753294074714,-2.3474822054884967,0.018900775952479017,44,2
BW,United States,bank_loans_gdp,-0.6612536686166387,0.23628683963644112,-2.7985209402016036,0.005133724056491385,44,2
BW,United States,mcap_gdp,0.21635990192565752,0.11715609393678152,1.8467660934684906,0.0647810479763964,44,2
FIN,Australia,liquid_liabilities,0.16272922079069868,0.13363283369868828,1.2177338180047588,0.2233251414037396,43,2
FIN,Australia,bank_loans_gdp,-0.13025694851903824,0.06936807774822494,-1.8777650000885513,0.06041332023139509,43,2
FIN,Australia,mcap_gdp,0.05205727431385426,0.024475391614483515,2.126923039018871,0.03342647824518944,43,2
FIN,Canada,liquid_liabilities,0.13495626348480003,0.20342267289348184,0.663427835084377,0.5070565836701184,43,2
FIN,Canada,bank_loans_gdp,-0.16570994279127874,0.16088947363452577,-1.0299613706717885,0.3030281396074834,43,2
FIN,Canada,mcap_gdp,0.012852983368296742,0.016869769128611448,0.7618944438603987,0.4461230063699877,43,2
FIN,Denmark,liquid_liabilities,0.16585228925281856,0.12173102637967338,1.3624487871771738,0.17305629593365468,43,2
FIN,Denmark,bank_loans_gdp,-0.1229858453303895,0.024000115187021116,-5.124385627819749,2.9850948055138654e-07,43,2
FIN,Denmark,mcap_gdp,0.01897730211717259,0.022457793694395257,0.8450207698679106,0.39809924269030617,43,2
FIN,Germany,liquid_liabilities,-0.29234310541206415,0.10949543298366193,-2.6699114058545743,0.007587126287039423,43,2
FIN,Germany,bank_loans_gdp,-0.057479576218887836,0.06895512977929959,-0.8335794074039039,0.4045180337476434,43,2
